oracle_calls,scaffold,smiles,reward,penalized_reward,hydroxypyridine_raw_values,hydroxypyridine_reward,activation_energy_raw_values,activation_energy_reward
37,c1ccncc1,c1(C(=O)N(C)C)cc([N+]([O-])=O)cnc1O,0.53221154,0.53221154,1.0,1.0,28.87930376627275,0.53221154
37,c1cnc2ccsc2c1,O=[N+]([O-])c1c(O)nc2c(scc2)c1C(F)(F)F,0.4749561,0.4749561,1.0,1.0,30.870843134309347,0.4749561
37,c1ccncc1,c1c(OC)c(O)ncc1[N+]([O-])=O,0.4530932,0.4530932,1.0,1.0,31.634515889142484,0.4530932
40,c1ccncc1,n1c(O)cc(C(N(C)C)=O)c(Cl)c1,0.67635584,0.67635584,1.0,1.0,23.597851452542102,0.67635584
40,c1ccncc1,c1cc(O)ncc1[N+](=O)[O-],0.47943005,0.47943005,1.0,1.0,30.71507645755572,0.47943005
40,c1ccncc1,CC(C)c1cc(C(N(C)C)=O)cnc1O,0.43341196,0.43341196,1.0,1.0,32.327330274178166,0.43341196
41,c1ccc2ncccc2c1,c12cc([N+]([O-])=O)c(O)nc1ccc([N+](=O)[O-])c2,0.4500205,0.4500205,1.0,1.0,31.74228436621744,0.4500205
44,c1cnc2ncsc2c1,[O-][N+](c1c(O)nc2c(scn2)c1)=O,0.50478286,0.50478286,1.0,1.0,29.83382097746382,0.50478286
44,O=c1cccc[nH]1,O=C(N(C)C)c1c(=O)n(C)c(O)c(Cl)c1,5.0130973e-05,5.0130973e-05,1.0,1.0,115.99744179052261,5.0130973e-05
44,c1ccncc1,c1c(O)ncc(C(N(C)C)=O)c1,0.42185044,0.42185044,1.0,1.0,32.73763361888008,0.42185044
45,c1ccncc1,c1(C(F)(F)F)ccc([N+](=O)[O-])nc1O,0.6111179,0.6111179,1.0,1.0,26.07385951001694,0.6111179
48,c1ccncc1,c1(C(F)(F)F)c(Cl)c(C(=O)N(C)C)cc(O)n1,0.3993685,0.3993685,1.0,1.0,33.544686103664105,0.3993685
48,c1ccncc1,c1nc(O)c(C(N(C)C)=O)cc1C(C)C,0.27723944,0.27723944,1.0,1.0,38.32278796787576,0.27723944
48,O=C1Nc2cccnc2Nc2ccccc21,c12c(cccc1)C(=O)Nc1c(nc(O)cc1C(F)(F)F)N2,0.25532612,0.25532612,1.0,1.0,39.29741685770258,0.25532612
52,O=C(Nc1ccccc1)c1cccnc1,c1(NC(c2c(O)nc(C(F)(F)F)cc2C(F)(F)F)=O)c(C(=O)N(C)C)cc(C)cc1,0.02572797,0.02572797,1.0,1.0,61.56549415847413,0.02572797
52,c1ccc2c(c1)[nH]c1ncccc12,n1c(O)c(F)c(C(F)(F)F)c2c3cc([N+]([O-])=O)ccc3n(C(C)C)c12,0.042299908,0.042299908,1.0,1.0,57.09780240580293,0.042299908
52,c1ccncc1,CN(S(=O)(=O)c1c(O)ncc(C(=O)N(C)C)c1)C,0.23701203,0.23701203,1.0,1.0,40.15494620457443,0.23701203
52,c1cnc2ccsc2c1,Oc1nc2c(F)c(F)sc2c(C(F)(F)F)c1[N+]([O-])=O,0.49528444,0.49528444,1.0,1.0,30.163840760063824,0.49528444
54,c1ccc2ncccc2c1,N(C)(C(c1c2ccccc2nc(O)c1Cl)=O)C,0.49830124,0.49830124,1.0,1.0,30.05902157752022,0.49830124
54,c1ccncc1,c1c(O)nc([N+]([O-])=O)c([N+](=O)[O-])c1,0.43974867,0.43974867,1.0,1.0,32.10356667081588,0.43974867
59,O=C(NC1CC1)c1ccncc1,CN(C1CC1)C(c1c([N+](=O)[O-])cnc(O)c1)=O,0.6819454,0.6819454,1.0,1.0,23.37504166358797,0.6819454
59,O=c1cccc(-c2cccnc2)[nH]1,c1(C(F)(F)F)cc(-c2c(O)ncc(F)c2C(F)(F)F)n(C)c(=O)c1,0.6757057,0.6757057,1.0,1.0,23.623635816820116,0.6757057
59,c1ccncc1,O=C(/C=C/c1cnc(O)c([N+]([O-])=O)c1)N(C)C,0.0,0.0,1.0,1.0,1000.0,0.0
59,c1cnc2ccsc2c1,n1c2ccsc2c([N+](=O)[O-])cc1O,0.40969658,0.40969658,1.0,1.0,33.17225923081161,0.40969658
59,c1cnc2ccsc2c1,O=[N+](c1c(O)nc2c(sc(F)c2F)c1)[O-],0.4523672,0.4523672,1.0,1.0,31.659967673411856,0.4523672
63,O=C(/C=C/c1ccncc1)c1ccccc1,c1c(/C=C/C(c2ccc(F)cc2)=O)cc(O)nc1,0.0,0.0,1.0,1.0,1000.0,0.0
63,c1ccncc1,c1c(C(F)(F)F)c(C(=O)N(C)C)c(O)nc1,0.2198704,0.2198704,1.0,1.0,41.0,0.2198704
63,c1ccc2cnccc2c1,c1(C(N(C)C)=O)c2ccccc2c(O)nc1,0.38686317,0.38686317,1.0,1.0,34.0,0.38686317
63,c1cnc2ccsc2c1,Oc1nc2c(c(C(F)(F)F)c1)sc(F)c2F,0.30876386,0.30876386,1.0,1.0,37.0,0.30876386
71,c1ccncc1,O=C(c1cnc(O)c(C(F)(F)F)c1)N(C)C,0.752922,0.752922,1.0,1.0,20.321680964307824,0.752922
71,c1cnc2ccsc2c1,c1(F)c(O)nc2c(F)c(F)sc2c1C(N(C)C)=O,0.2976895,0.2976895,1.0,1.0,37.45531259584194,0.2976895
71,c1cnc2ccsc2c1,c1c(C(F)(F)F)c(O)nc2c(F)c(F)sc21,0.5419679,0.5419679,1.0,1.0,28.53844689506413,0.5419679
71,c1ccc2ncccc2c1,c1cc2c(cccc2)nc1O,0.19568445,0.19568445,1.0,1.0,42.2774028741778,0.19568445
71,O=C(NCc1ccccc1)c1ccncc1,C(c1c([N+](=O)[O-])cnc(O)c1)(=O)N(C)C(c1ccccc1Cl)C,0.57489103,0.57489103,1.0,1.0,27.378294829222764,0.57489103
71,c1ccc2ncccc2c1,C(=O)(N(C)C)c1c2ccccc2nc(O)c1,0.23919296,0.23919296,1.0,1.0,40.050522353000986,0.23919296
71,c1ccc2c(c1)cnc1ccccc12,c1(O)c2ccccc2c2c(n1)cccc2[N+]([O-])=O,0.2566563,0.2566563,1.0,1.0,39.23675551685074,0.2566563
71,c1cnc2sccc2c1,CN(C(c1csc2nc(O)c([N+](=O)[O-])cc12)=O)C,0.5235076,0.5235076,1.0,1.0,29.182660671329703,0.5235076
72,O=C1N=C(c2ccccc2)C(=O)N1Cc1ccncc1,C1(=O)N(Cc2c(C)c(O)ncc2F)C(=O)N=C1c1ccc(F)cc1,0.58999914,0.58999914,1.0,1.0,26.838668056998475,0.58999914
74,c1cc2[nH]ccc2cn1,c1(C(F)(F)F)cc2cnc(O)cc2n1C(C)C,0.25133577,0.25133577,1.0,1.0,39.480655899229816,0.25133577
74,c1cnc2ccoc2c1,o1ccc2c1cc(C(F)(F)F)c(O)n2,0.4893833,0.4893833,1.0,1.0,30.368917131285038,0.4893833
78,c1ccncc1,c1([N+](=O)[O-])cc(O)ncc1[N+](=O)[O-],0.5440647,0.5440647,1.0,1.0,28.465053386977885,0.5440647
78,c1cncc(Cn2ccnc2)c1,C(n1ccnc1)c1cc(C(N(C)C)=O)cnc1O,0.30951717,0.30951717,1.0,1.0,36.96936298402939,0.30951717
78,c1ccc2cc3ncccc3cc2c1,FC(F)(F)c1c([N+]([O-])=O)c(O)nc2c1cc1c(c2)cccc1,0.45331573,0.45331573,1.0,1.0,31.626715946389943,0.45331573
78,O=C(NC1CC1)c1ccncc1,n1c(O)cc(C(=O)N(C)C2CC2)cc1,0.46242377,0.46242377,1.0,1.0,31.30799760941211,0.46242377
84,c1cnc2ccsc2c1,Oc1nc2ccsc2cc1[N+](=O)[O-],0.4980097,0.4980097,1.0,1.0,30.069149580422437,0.4980097
84,c1ccc(CNC2CC2)nc1,CN(Cc1cccc(O)n1)C1CC1,0.013399626,0.013399626,1.0,1.0,67.3409721309613,0.013399626
84,c1ccncc1,[N+](c1c(C(F)(F)F)c([N+](=O)[O-])c(O)nc1)([O-])=O,0.8673103,0.8673103,1.0,1.0,13.693254464131785,0.8673103
84,c1ccc2ncccc2c1,c1(C(N(C)C)=O)c(Cl)cc2c(cc([N+](=O)[O-])c(O)n2)c1,0.39478996,0.39478996,1.0,1.0,33.71080041164958,0.39478996
84,c1cnc2ccsc2c1,Fc1sc2c(nc(O)c(C(F)(F)F)c2)c1,0.54102623,0.54102623,1.0,1.0,28.571391142449524,0.54102623
84,O=C(c1cccnc1-c1ccccc1)N1CCOCC1,C1N(C(c2c(-c3ccc(F)cc3)nc(O)cc2C(F)(F)F)=O)CCOC1,0.0858504,0.0858504,1.0,1.0,50.54549907991485,0.0858504
90,O=C(Nc1ccccc1)c1ccncc1,c1(C(Nc2ccc(F)cc2)=O)cc(O)ncc1[N+]([O-])=O,0.16999869,0.16999869,1.0,1.0,43.77266382445132,0.16999869
90,c1ccncc1,c1(C(N(C)C)=O)cc(O)ncc1F,0.64296365,0.64296365,1.0,1.0,24.890520969121113,0.64296365
90,c1cnc2sccc2c1,c12c(sc(F)c1)nc(O)c([N+](=O)[O-])c2C(F)(F)F,0.70374364,0.70374364,1.0,1.0,22.485063801798294,0.70374364
90,c1ccncc1,n1c(O)c([N+]([O-])=O)c(C(F)(Cl)F)c(C(F)(F)F)c1,0.83047384,0.83047384,1.0,1.0,16.19821580873671,0.83047384
90,O=C(Nc1ccccc1)c1ccncc1,c1c(O)ncc([N+]([O-])=O)c1C(N(c1ccccc1)C)=O,0.7155183,0.7155183,1.0,1.0,21.988672432347286,0.7155183
90,c1ccc2ncccc2c1,[N+](c1cc2c(nc(O)c(C(F)(F)F)c2)cc1)(=O)[O-],0.47072518,0.47072518,1.0,1.0,31.01827648522672,0.47072518
94,c1cnc2ncsc2c1,FC(c1c(O)nc2ncsc2c1)(F)F,0.5291027,0.5291027,1.0,1.0,28.98772485320122,0.5291027
94,c1ccncc1,c1(O)c(C(F)(F)F)cc([N+]([O-])=O)cn1,0.90381634,0.90381634,1.0,1.0,10.540420963023541,0.90381634
94,c1ccncc1,N(C)(Cc1cc(O)ncc1Cl)C,0.6046195,0.6046195,1.0,1.0,26.310662760250153,0.6046195
94,c1ccncc1,FC(c1cnc(O)c(C(=O)N(C)C)c1C(F)(F)F)(F)F,0.49459872,0.49459872,1.0,1.0,30.187667294790202,0.49459872
96,c1ccncc1,FC(F)(c1c(C(F)(F)F)c(C(F)(F)F)c(O)nc1)F,0.8646277,0.8646277,1.0,1.0,13.894013570170932,0.8646277
96,c1ccc2ncccc2c1,c1cc2c(cc([N+]([O-])=O)c(O)n2)cc1,0.4306272,0.4306272,1.0,1.0,32.42590573745099,0.4306272
100,c1ccncc1,CN(C(=O)c1c(O)nc([N+]([O-])=O)cc1C(F)(F)F)C,0.36636636,0.36636636,1.0,1.0,34.75845257896461,0.36636636
100,c1cnc2sccc2c1,c12c(nc(O)c([N+](=O)[O-])c1)scc2,0.46712133,0.46712133,1.0,1.0,31.143972907983187,0.46712133
100,O=C1CCOc2ncccc21,CC1(C)CC(=O)c2c(nc(O)c([N+](=O)[O-])c2C(F)(F)F)O1,0.6288784,0.6288784,1.0,1.0,25.41899062287408,0.6288784
100,c1ccc2ncccc2c1,c1cc2cc(C(F)(F)F)c(O)nc2cc1[N+]([O-])=O,0.41180044,0.41180044,1.0,1.0,33.09675729088749,0.41180044
103,c1ccncc1,c1c(Cl)c(O)ncc1[N+](=O)[O-],0.5603669,0.5603669,1.0,1.0,27.89235686547192,0.5603669
103,O=C(NCc1ccccc1)c1ccncc1,c1(C(=O)N(C(C)c2c(Cl)cccc2)C)c(Cl)cnc(O)c1,0.011562983,0.011562983,1.0,1.0,68.63758240702462,0.011562983
103,c1ccncc1,c1(N(C)C)c([N+]([O-])=O)cnc(O)c1C(F)(F)F,0.46585625,0.46585625,1.0,1.0,31.188124474584146,0.46585625
105,O=C(NCc1ccccc1)c1ccncc1,Fc1c(C(=O)N(C)C(c2ccccc2Cl)C)cc(O)nc1,0.3520081,0.3520081,1.0,1.0,35.30033838528625,0.3520081
105,c1ccc2ncccc2c1,c1c([N+](=O)[O-])c2c(nc1O)cccc2,0.21351153,0.21351153,1.0,1.0,41.32542080127552,0.21351153
109,c1ccncc1,S(N(C)C)(c1cc(C(=O)N(C)C)c(O)nc1)(=O)=O,0.4307517,0.4307517,1.0,1.0,32.42149434584448,0.4307517
109,O=C(NCc1ccncc1)c1nc(-c2ccccc2)cs1,C(N(C)C(=O)c1sc(C)c(-c2ccc(F)cc2)n1)c1cc(O)ncc1F,0.007090992,0.007090992,1.0,1.0,72.92404942359094,0.007090992
