2025-08-21 17:03:19,309 - INFO - Starting RL generative experiment with oracle budget: 10000
2025-08-22 05:17:56,747 - INFO - Oracle calls: 469/10000 (Batch Validity: 93.75%, 30 / 32)
2025-08-22 05:32:56,683 - INFO - Oracle calls: 477/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 05:48:47,152 - INFO - Oracle calls: 489/10000 (Batch Validity: 93.75%, 30 / 32)
2025-08-22 06:02:53,506 - INFO - Oracle calls: 497/10000 (Batch Validity: 96.88%, 31 / 32)
2025-08-22 06:19:49,128 - INFO - Logging intermediate results at 507 oracle calls.
2025-08-22 06:19:49,319 - INFO - Oracle calls: 507/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 06:28:48,208 - INFO - Oracle calls: 514/10000 (Batch Validity: 93.75%, 30 / 32)
2025-08-22 06:42:27,632 - INFO - Oracle calls: 521/10000 (Batch Validity: 96.88%, 31 / 32)
2025-08-22 06:44:40,699 - INFO - Oracle calls: 522/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 06:54:50,549 - INFO - Oracle calls: 530/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 07:00:00,642 - INFO - Oracle calls: 536/10000 (Batch Validity: 96.77%, 30 / 31)
2025-08-22 07:13:36,061 - INFO - Oracle calls: 544/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 07:26:19,735 - INFO - Oracle calls: 551/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 07:33:15,884 - INFO - Oracle calls: 556/10000 (Batch Validity: 100.0%, 29 / 29)
2025-08-22 07:38:50,537 - INFO - Oracle calls: 560/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 07:41:45,177 - INFO - Oracle calls: 561/10000 (Batch Validity: 93.75%, 30 / 32)
2025-08-22 07:55:12,002 - INFO - Oracle calls: 568/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 08:13:01,175 - INFO - Oracle calls: 576/10000 (Batch Validity: 96.88%, 31 / 32)
2025-08-22 08:16:28,643 - INFO - Oracle calls: 577/10000 (Batch Validity: 93.55%, 29 / 31)
2025-08-22 08:24:01,136 - INFO - Oracle calls: 581/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 08:34:41,970 - INFO - Oracle calls: 586/10000 (Batch Validity: 96.77%, 30 / 31)
2025-08-22 08:45:57,021 - INFO - Oracle calls: 591/10000 (Batch Validity: 96.88%, 31 / 32)
2025-08-22 08:52:34,108 - INFO - Oracle calls: 595/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 09:09:25,230 - INFO - Logging intermediate results at 602 oracle calls.
2025-08-22 09:09:25,425 - INFO - Oracle calls: 602/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 09:13:56,205 - INFO - Oracle calls: 604/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 09:16:48,143 - INFO - Oracle calls: 605/10000 (Batch Validity: 93.75%, 30 / 32)
2025-08-22 09:20:49,391 - INFO - Oracle calls: 607/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 09:30:03,809 - INFO - Oracle calls: 611/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 09:30:04,543 - INFO - Oracle calls: 611/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 09:37:36,720 - INFO - Oracle calls: 616/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 09:43:56,391 - INFO - Oracle calls: 620/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 09:58:15,986 - INFO - Oracle calls: 625/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 10:15:21,919 - INFO - Oracle calls: 628/10000 (Batch Validity: 93.55%, 29 / 31)
2025-08-22 10:19:01,389 - INFO - Oracle calls: 629/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 10:22:35,412 - INFO - Oracle calls: 632/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 10:27:15,438 - INFO - Oracle calls: 634/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 10:27:16,087 - INFO - Oracle calls: 634/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 10:32:15,640 - INFO - Oracle calls: 637/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 10:40:55,002 - INFO - Oracle calls: 640/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 10:40:55,790 - INFO - Oracle calls: 640/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 10:44:33,526 - INFO - Oracle calls: 642/10000 (Batch Validity: 96.67%, 29 / 30)
2025-08-22 10:44:34,201 - INFO - Oracle calls: 642/10000 (Batch Validity: 96.67%, 29 / 30)
2025-08-22 10:44:34,952 - INFO - Oracle calls: 642/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 10:55:15,428 - INFO - Oracle calls: 647/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 11:00:48,583 - INFO - Oracle calls: 649/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 11:02:35,820 - INFO - Oracle calls: 650/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 11:05:19,803 - INFO - Oracle calls: 651/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 11:05:20,492 - INFO - Oracle calls: 651/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 11:05:21,187 - INFO - Oracle calls: 651/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 11:09:21,860 - INFO - Oracle calls: 652/10000 (Batch Validity: 96.88%, 31 / 32)
2025-08-22 11:11:53,391 - INFO - Oracle calls: 653/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 11:14:36,451 - INFO - Oracle calls: 654/10000 (Batch Validity: 100.0%, 29 / 29)
2025-08-22 11:14:37,159 - INFO - Oracle calls: 654/10000 (Batch Validity: 96.88%, 31 / 32)
2025-08-22 11:14:37,832 - INFO - Oracle calls: 654/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 11:14:38,474 - INFO - Oracle calls: 654/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 11:19:02,967 - INFO - Oracle calls: 655/10000 (Batch Validity: 96.88%, 31 / 32)
2025-08-22 11:19:03,630 - INFO - Oracle calls: 655/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 11:19:04,253 - INFO - Oracle calls: 655/10000 (Batch Validity: 96.67%, 29 / 30)
2025-08-22 11:19:04,866 - INFO - Oracle calls: 655/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 11:19:05,480 - INFO - Oracle calls: 655/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 11:19:06,094 - INFO - Oracle calls: 655/10000 (Batch Validity: 96.88%, 31 / 32)
2025-08-22 11:19:06,700 - INFO - Oracle calls: 655/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 11:19:07,313 - INFO - Oracle calls: 655/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 11:19:08,047 - INFO - Oracle calls: 655/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 11:27:24,014 - INFO - Oracle calls: 656/10000 (Batch Validity: 96.77%, 30 / 31)
2025-08-22 11:27:24,611 - INFO - Oracle calls: 656/10000 (Batch Validity: 100.0%, 29 / 29)
2025-08-22 11:27:25,204 - INFO - Oracle calls: 656/10000 (Batch Validity: 100.0%, 29 / 29)
2025-08-22 11:28:53,318 - INFO - Oracle calls: 657/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 11:30:33,580 - INFO - Oracle calls: 658/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 11:30:34,238 - INFO - Oracle calls: 658/10000 (Batch Validity: 100.0%, 27 / 27)
2025-08-22 11:30:34,845 - INFO - Oracle calls: 658/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 11:30:35,461 - INFO - Oracle calls: 658/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 11:30:36,054 - INFO - Oracle calls: 658/10000 (Batch Validity: 100.0%, 29 / 29)
2025-08-22 11:32:45,982 - INFO - Oracle calls: 659/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 11:32:46,581 - INFO - Oracle calls: 659/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 11:32:47,172 - INFO - Oracle calls: 659/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 11:32:47,758 - INFO - Oracle calls: 659/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 11:32:48,361 - INFO - Oracle calls: 659/10000 (Batch Validity: 100.0%, 29 / 29)
2025-08-22 11:32:48,955 - INFO - Oracle calls: 659/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 11:32:49,614 - INFO - Oracle calls: 659/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 11:32:50,207 - INFO - Oracle calls: 659/10000 (Batch Validity: 100.0%, 28 / 28)
2025-08-22 11:32:50,792 - INFO - Oracle calls: 659/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 11:32:51,377 - INFO - Oracle calls: 659/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 11:32:51,973 - INFO - Oracle calls: 659/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 11:32:52,557 - INFO - Oracle calls: 659/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 11:32:53,152 - INFO - Oracle calls: 659/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 11:32:53,755 - INFO - Oracle calls: 659/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 11:32:54,340 - INFO - Oracle calls: 659/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 11:36:09,682 - INFO - Oracle calls: 661/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 11:36:10,260 - INFO - Oracle calls: 661/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 11:36:11,377 - INFO - Oracle calls: 661/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 11:36:11,985 - INFO - Oracle calls: 661/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 11:36:12,573 - INFO - Oracle calls: 661/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 11:39:06,246 - INFO - Oracle calls: 662/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 11:39:06,847 - INFO - Oracle calls: 662/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 11:39:07,433 - INFO - Oracle calls: 662/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 11:39:08,013 - INFO - Oracle calls: 662/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 11:39:08,602 - INFO - Oracle calls: 662/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 11:41:10,428 - INFO - Oracle calls: 663/10000 (Batch Validity: 96.67%, 29 / 30)
2025-08-22 11:42:32,358 - INFO - Oracle calls: 664/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 11:42:32,944 - INFO - Oracle calls: 664/10000 (Batch Validity: 100.0%, 29 / 29)
2025-08-22 11:42:33,527 - INFO - Oracle calls: 664/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 11:44:43,674 - INFO - Oracle calls: 665/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 11:44:44,266 - INFO - Oracle calls: 665/10000 (Batch Validity: 100.0%, 28 / 28)
2025-08-22 11:44:44,848 - INFO - Oracle calls: 665/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 11:48:41,112 - INFO - Oracle calls: 666/10000 (Batch Validity: 100.0%, 28 / 28)
2025-08-22 11:51:08,907 - INFO - Oracle calls: 668/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 11:51:09,492 - INFO - Oracle calls: 668/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 11:51:10,084 - INFO - Oracle calls: 668/10000 (Batch Validity: 93.55%, 29 / 31)
2025-08-22 11:51:10,666 - INFO - Oracle calls: 668/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 11:51:11,247 - INFO - Oracle calls: 668/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 11:51:11,821 - INFO - Oracle calls: 668/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 11:51:12,406 - INFO - Oracle calls: 668/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 11:51:12,987 - INFO - Oracle calls: 668/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 11:51:13,567 - INFO - Oracle calls: 668/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 11:51:14,153 - INFO - Oracle calls: 668/10000 (Batch Validity: 100.0%, 31 / 31)
