oracle_calls,scaffold,smiles,reward,penalized_reward,hydroxypyridine_raw_values,hydroxypyridine_reward,activation_energy_raw_values,activation_energy_reward
40,c1ccc(-c2cc3ccccc3c3cnccc23)cc1,c1(C)cc2c(-c3ccc(O)cc3)c(C(=O)O)c3c(c2c(O)n1)cc(OC)cc3,0.13849176,0.13849176,1.0,1.0,45.87670936609614,0.13849176
40,c1ccncc1,O=[N+](c1cc(N)c(O)nc1)[O-],0.6161366,0.6161366,1.0,1.0,25.889992959017228,0.6161366
40,c1cnc2cnccc2c1,Nc1ccnc2c(O)ncc(O)c21,0.5296461,0.5296461,1.0,1.0,28.96878034218571,0.5296461
40,N=C(NCc1ccccc1)NCc1ccncc1,c1(O)c(C#N)c(O)c(CNC(=NC)NCc2ccnc(O)c2C)cc1O,0.48333955,0.48333955,1.0,1.0,30.579057503948444,0.48333955
40,c1ccn(Cc2ccncc2)c1,[N+](c1cc(CNC)cn1Cc1c(O)c(C)nc(O)c1)([O-])=O,0.15082732,0.15082732,1.0,1.0,45.01031958542188,0.15082732
40,O=c1cccc2scc(-c3cccnc3)n12,OC(=O)c1c2n(c(-c3cc(C)c(O)nc3)cs2)c(=O)c(O)c1O,0.27449983,0.27449983,1.0,1.0,38.44190809134388,0.27449983
40,N=C(NCc1ccccc1)NCc1cccnc1,Fc1cc(CNC(=NC)NCc2cnc(O)cc2[N+](=O)[O-])c(O)cc1CN,0.27814832,0.27814832,1.0,1.0,38.283430573652026,0.27814832
40,c1ccncc1,c1(CNC(NCCCO)=NC)c(O)nccc1CO,0.33864778,0.33864778,1.0,1.0,35.81369133583793,0.33864778
40,c1ccncc1,n1c(O)cc(O)c([N+]([O-])=O)c1,0.56533986,0.56533986,1.0,1.0,27.716804815009308,0.56533986
56,c1cncc(CNC2CCCC2)c1,Oc1cc(O)ncc1CNC1CCCC1,0.35371554,0.35371554,1.0,1.0,35.2353911547331,0.35371554
56,O=c1ccccn1-c1ccccc1,c1(O)c(=O)n(-c2ccc(C(=O)NC)cc2)c(O)cc1O,0.0,0.0,1.0,1.0,1000.0,0.0
56,c1ccc2cnccc2c1,c1(O)c2c(c(OC)c(OC)c1O)c(N)nc(O)c2O,0.19897352,0.19897352,1.0,1.0,42.097031550948,0.19897352
56,N=C(NCc1ccccc1)NCc1ccncc1,c1c(O)cc(CNC(NCc2c(O)c(O)ncc2)=NC)cc1,0.52696395,0.52696395,1.0,1.0,29.062266703626385,0.52696395
56,c1ccncc1,c1(C(F)(F)F)c(C)c(C(F)(F)F)c(O)c(O)n1,0.21181512,0.21181512,1.0,1.0,41.41342272990497,0.21181512
56,c1ccc(Cc2cccnc2)cc1,c1(O)c(Cc2c(O)c(CN)ccc2O)c(O)nc(CNCCC)c1O,0.01042893,0.01042893,1.0,1.0,69.54414534419047,0.01042893
